checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1024_x0256,train,0.947492,0.913996,0.930443
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1024_x1024,train,0.992482,0.838769,0.909174
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1024_x1280,val,0.882060,0.894524,0.888249
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1024_x1792,train,0.946419,0.918371,0.932184
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1280_x0512,test,0.890652,0.941783,0.915504
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_26_y1792_x1792,val,0.863722,0.935787,0.898312
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y0512_x1024,train,0.958166,0.901070,0.928741
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y0512_x1280,train,0.904666,0.946751,0.925230
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y0512_x1792,train,0.943418,0.934122,0.938747
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y0768_x0512,train,0.919508,0.947009,0.933056
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y1024_x0512,val,0.976572,0.793820,0.875764
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y1024_x1792,train,0.777434,0.950142,0.855155
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y1536_x1792,train,0.902608,0.910468,0.906521
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_27_y1792_x2048,train,0.822568,0.954227,0.883520
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_28_y0000_x1280,train,0.931952,0.820973,0.872949
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_29_y0512_x1024,test,0.833750,0.942222,0.884674
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_29_y0768_x0512,train,0.889275,0.921662,0.905179
